,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
1376,10 Paya Lebar Road#03-09/10Paya Lebar Quarter Singapore (409057),"Chinese, Seafood, Dim Sum",TungLok Seafood (Paya Lebar),1.316608,103.8924804,42
1377,No.5 Changi Business Park Central 1#01-26/27Changi City Point Singapore (486038),"Chinese, Seafood",TungLok Signatures (Changi City Point),1.3332825,103.9639906,35
1378,1 Tanglin Road#02-18Orchard Rendezvous Hotel Singapore (247905),"Chinese, Seafood",TungLok Signatures (Orchard Rendezvous Hotel),1.3065228,103.827668,44
1379,6 Eu Tong Sen Street#02-88The Central Singapore (059817),"Chinese, Seafood",TungLok Signatures (The Central),1.2890252,103.8466098,24
1380,10 Sinaran Drive#01-73Square 2Singapore (307506),"Chinese, Dim Sum",TungLok Teahouse (Square 2),1.3208322,103.8441474,26
1381,181 Orchard Road#07-07/08/09Orchard Central Singapore (238896),"Chinese, Seafood",TungLok XiHe Peking Duck (Orchard Central),1.3007667,103.8400129,38
1382,200 Turf Club Road#01-23Turf City Singapore (287994),"Chinese, Seafood",TungLok XiHe Peking Duck (The Grandstand),1.3380084,103.7934418,17
1383,9 Teck Chye Terrace Singapore (545720),"Fusion, Cafe",TWO Bakers (Serangoon),1.3530413,103.8763879,36
1384,327 Jalan Besar Singapore (208981),"American, Vegetarian Friendly, Burgers",Two Blur Guys,1.3116674,103.8592399,8
1385,10 Telok Blangah Green Singapore (109178),"Modern European, Spanish",TXA Gastrobar,1.278877,103.813289,27
1386,201 Victoria Street#04-08Singapore (188067),"Chinese, Fusion",Typhoon Cafe (Bugis+),1.2997818,103.8541438,45
1387,68 Orchard Road#04-67Plaza Singapura Singapore (238839),"Chinese, Fusion",Typhoon Cafe (Plaza Singapura),1.3005317,103.8452356,38
1388,60 Collyer Quay Level 8 & 10OUE Tower Singapore (049322),Chinese,Tóng Lè Private Dining,1.283527,103.853136,49
1389,357 Joo Chiat Road Singapore (427602),"Chinese, Local, Southeast Asian, Zi Char",Ubin Kitchen,1.3085198,103.9032294,23
1390,57 South Bridge Road#01-02Singapore (058688),Thai,Un-Yang-Kor-Dai,1.287117,103.848241,24
1391,10 Telok Blangah Green Singapore (109178),Spanish,UNA at The Alkaff Mansion,1.278877,103.813289,27
1392,201 Victoria Street#04-10Bugis+Singapore (188067),Japanese,Una Una (Bugis+),1.2995955,103.8542191,45
1393,"3 Temasek Boulevard#03-315Suntec City Mall, Eat at Seven Singapore (038983)",Japanese,Una Una (Suntec),1.29503,103.8583026,12
